Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:17:22,500;11.5;4.0;139.0;;;2.0;;9.0;1.0;7.6;3.5;3.0;4.0;;11.0
19:17:23,0;15.0;5.0;;;;;;;;;3.0;;3.0;;
19:17:23,500;10.0;4.333333333333333;;;;;;9.75;0.0;8.0;;;3.0;;
19:17:24,0;13.5;;138.0;;;;;10.5;;8.0;;3.0;2.0;;12.0
19:17:24,500;10.666666666666666;4.0;140.0;;2.0;;;10.4;;8.5;;;;;
19:17:25,0;12.5;;145.5;;;;;;;5.0;5.0;;;;
19:17:25,500;14.0;4.0;154.0;;2.0;;;10.5;0.0;6.0;;3.5;3.0;;
19:17:26,0;13.0;5.0;;;;;;9.0;;7.0;3.0;;;;
19:17:26,500;10.8;4.333333333333333;139.0;;;;;9.5;;7.666666666666667;3.0;3.0;;;
19:17:27,0;15.0;;137.0;;;;;8.0;;6.0;;;;;
19:17:27,500;10.75;8.0;141.0;;;;;9.0;;6.666666666666667;3.5;3.0;3.0;22.0;
19:17:28,0;11.666666666666666;;;;;;;;;;3.0;;3.0;;
19:17:28,500;10.25;3.5;164.0;;;;;;;6.333333333333333;3.0;3.0;3.0;;
19:17:29,0;13.0;;;;;;;10.0;;;3.6666666666666665;;4.0;18.0;
19:17:29,500;9.75;4.0;;2.0;2.0;;;9.25;;6.0;3.0;2.6666666666666665;3.0;;11.0
19:17:30,0;14.0;4.0;;;2.0;;;;;7.0;;;;;
19:17:30,500;10.0;5.5;140.0;;;;;9.0;;7.25;3.0;;3.0;;13.0
19:17:31,0;14.0;;138.0;;;;;10.0;;7.0;2.5;;;;
19:17:31,500;10.666666666666666;3.5;143.33333333333334;;;;;11.0;0.5;6.333333333333333;3.0;;8.0;;
19:17:32,0;11.666666666666666;;163.0;;;;;;;;;4.0;4.0;;
19:17:32,500;12.0;4.0;138.5;;;;;;1.0;7.4;3.0;3.0;3.0;;
